Start Time			End Time			Delta Time
1726102774.7998781	1726102774.862634	0.06275582313537598
1726102774.862636	1726102774.8997207	0.03708457946777344
1726102774.899723	1726102774.9845033	0.08478021621704102
1726102774.984506	1726102775.0448518	0.06034588813781738
1726102775.0448542	1726102775.1042192	0.059365034103393555
Start Time			End Time			Delta Time
1726102840.872118	1726102840.9187987	0.04668068885803223
1726102840.9188006	1726102840.9895751	0.07077455520629883
1726102840.9895782	1726102841.0400722	0.05049395561218262
1726102841.0400743	1726102841.1179848	0.0779104232788086
1726102841.1179883	1726102841.2119546	0.09396624565124512
Average: 0.06796517372131347
